sinking_law,best_scale,r2_no_frag_image,b_no_frag_image
current,0.8,0.993868188298637,4.26253270207762
kriest_8,0.8,0.999995198022957,3.82182560937808
kriest_9,0.8,0.99998894546564,3.85815136365743
siegel_2025,0.8,0.99999279231624,3.83067537750929
